"taxon","lfc_(Intercept)","lfc_Laxatives","lfc_Indigestion.meds","lfc_Anti.inflammatories..non.NSAID.","lfc_Cholesterol.meds","lfc_Antihistamines","lfc_Diabetes.meds","lfc_Depression.anxiety.meds","lfc_NSAIDs","se_(Intercept)","se_Laxatives","se_Indigestion.meds","se_Anti.inflammatories..non.NSAID.","se_Cholesterol.meds","se_Antihistamines","se_Diabetes.meds","se_Depression.anxiety.meds","se_NSAIDs","W_(Intercept)","W_Laxatives","W_Indigestion.meds","W_Anti.inflammatories..non.NSAID.","W_Cholesterol.meds","W_Antihistamines","W_Diabetes.meds","W_Depression.anxiety.meds","W_NSAIDs","p_(Intercept)","p_Laxatives","p_Indigestion.meds","p_Anti.inflammatories..non.NSAID.","p_Cholesterol.meds","p_Antihistamines","p_Diabetes.meds","p_Depression.anxiety.meds","p_NSAIDs","q_(Intercept)","q_Laxatives","q_Indigestion.meds","q_Anti.inflammatories..non.NSAID.","q_Cholesterol.meds","q_Antihistamines","q_Diabetes.meds","q_Depression.anxiety.meds","q_NSAIDs","diff_(Intercept)","diff_Laxatives","diff_Indigestion.meds","diff_Anti.inflammatories..non.NSAID.","diff_Cholesterol.meds","diff_Antihistamines","diff_Diabetes.meds","diff_Depression.anxiety.meds","diff_NSAIDs"
"Fenollaria",2.05919932456264,0.695753915228916,-0.941473385422667,-4.30677018179569,-2.03704234124439,-0.00550331199926781,3.57019804951557,1.33439173311319,-0.994460470970389,1.47202252694443,1.86005550291999,1.40189741819958,1.34312652353175,1.20139267962626,1.43837125840152,2.11551791847707,1.21721647875671,1.35732987648618,1.39889117650737,0.374050082987682,-0.671570810531753,-3.20652604675772,-1.6955674658165,-0.00382607200131607,1.68762363974005,1.09626492608461,-0.732659383837349,0.161845618919306,0.708367055350511,0.501856966041945,0.00134348141826335,0.0899678234645474,0.99694724366976,0.0914834983634149,0.272962853775999,0.463766202197303,0.999150883943132,0.998335587547131,0.984649526678538,0.029616509769582,0.981651670782761,0.99694724366976,0.998463933372129,0.99493715987854,0.994657088580679,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Peptoniphilus",0.727233177099088,-0.504877896108943,-0.254426442207317,-4.1877568164819,-2.73310982158931,0.634134783079802,3.09638801141597,2.15757817719982,0.450407147886907,1.44388451765264,1.82450016455635,1.3750998645906,1.31756130242734,1.17845858479921,1.41087649993613,2.07507936420398,1.19394913877892,1.33138424048028,0.503664363879578,-0.276721211604664,-0.185023974446442,-3.17841515895072,-2.31922432985202,0.449461581583156,1.49217811368086,1.80709387621521,0.338299894344874,0.614497254531724,0.781994183153389,0.853210231331656,0.0014808254884791,0.0203828759180244,0.653098716305229,0.135652458336837,0.0707476433159657,0.735137203330029,0.999150883943132,0.998335587547131,0.984649526678538,0.029616509769582,0.951200876174474,0.99694724366976,0.998463933372129,0.99493715987854,0.994657088580679,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Varibaculum",0.159302216370379,0.621120539650033,-1.08396919328907,-4.49580111798963,-1.27314050176255,2.04838147706294,2.22152055905699,2.74456591497326,0.115282632827719,1.44179212115017,1.82185620119474,1.37310714695145,1.31566022598246,1.17675316213166,1.4088319368026,2.07207227551308,1.19221893461677,1.32945487307301,0.110489032387899,0.340927313167039,-0.789427974135654,-3.4171445098087,-1.08190956500706,1.45395729863409,1.07212503410717,2.30206536340196,0.0867142128421747,0.912021547501501,0.733158302368248,0.429861911231784,0.00063281679318712,0.2792927142749,0.145958145352642,0.283663875990744,0.0213314863539955,0.930898678760107,0.999150883943132,0.998335587547131,0.984649526678538,0.0221485877615492,0.981651670782761,0.99694724366976,0.998463933372129,0.765947381437888,0.994657088580679,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Prevotella",1.31348565093979,-0.391070645422702,-2.43961011625129,-4.99359624296093,-1.03725364327002,1.69214556749725,1.52635846064144,1.92386829038629,-0.0621908151357627,1.51316386780566,1.91204192029181,1.44107884272191,1.3805062863324,1.23492528432121,1.47857208491315,2.17464421728636,1.25123628289543,1.39526568934739,0.868039264540834,-0.204530372097187,-1.69290537334054,-3.61722093727474,-0.839932307192296,1.14444576951191,0.701888818643681,1.53757393122772,-0.0445727402390659,0.385372838049925,0.837939060102966,0.0904734803840248,0.000297783109566855,0.400946342119331,0.252438816020608,0.482748502507292,0.124152825508139,0.964447871195408,0.999150883943132,0.998335587547131,0.984649526678538,0.0160380496153919,0.981651670782761,0.99694724366976,0.998463933372129,0.99493715987854,0.994657088580679,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Escherichia",0.499344844604976,0.645323249093143,-0.35239339478962,5.09346995742116,-0.805450333923694,1.43007670651134,3.40732084297997,-3.21691795937197,-1.2716955919946,1.55969197730184,1.97083508719291,1.4853904177029,1.42278062994243,1.27284851482472,1.5240365354783,2.24151211336153,1.28971040986529,1.43816856070947,0.320156064063886,0.327436452337718,-0.237239577278668,3.57994047025172,-0.632793552840503,0.93834804692692,1.52009923241954,-2.49429479266434,-0.884246552690073,0.748850027419428,0.743337799640234,0.812470934332091,0.000343672491758397,0.526868467490952,0.348065575621285,0.12848603750679,0.0126207678762947,0.37656313324392,0.999150883943132,0.998335587547131,0.984649526678538,0.0160380496153919,0.981651670782761,0.99694724366976,0.998463933372129,0.765947381437888,0.994657088580679,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Klebsiella",-0.407324483329335,-0.51627259126027,0.464669658513443,4.25197343930115,0.0256458836267077,1.60494943513186,2.74782803485926,-2.44875057400285,-0.647934743251178,1.29183239007641,1.63236628654027,1.2302912891924,1.17941164332215,1.0545272662278,1.26230037010038,1.85655757221906,1.06821712590002,1.1911792560016,-0.315307532508333,-0.316272515254212,0.377690765264595,3.60516488316519,0.024319791861283,1.27144812213295,1.48006615899065,-2.29237157374692,-0.543943944613411,0.752528166376085,0.751795670900574,0.705660328804865,0.0003119548047389,0.980597526177011,0.203569272153791,0.138855591640987,0.0218842108982254,0.586480047529242,0.999150883943132,0.998335587547131,0.984649526678538,0.0160380496153919,0.986224843243024,0.99694724366976,0.998463933372129,0.765947381437888,0.994657088580679,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Faecalimonas",0.00750025239920286,0.320044774664606,-0.0967415807597698,3.6047128140944,0.188635212008779,-0.723180654851873,0.561444791312433,-0.467240583908986,-1.02109277507554,1.22050346171652,1.54223467286953,1.16236037191341,1.11460209667334,0.99638937474217,1.19260206143495,1.75404716678094,1.00923518410058,1.12540792183487,0.00614521190186095,0.207520152603703,-0.0832285606919987,3.234080417445,0.189318771145659,-0.606388902247692,0.320085344308503,-0.462965016747199,-0.907309034586098,0.995096861160715,0.835603655714258,0.933669803369017,0.00122035088426708,0.849842984103382,0.544256536087984,0.74890363524055,0.643389442865208,0.364243397882677,0.999150883943132,0.998335587547131,0.984649526678538,0.029616509769582,0.981651670782761,0.99694724366976,0.998463933372129,0.99493715987854,0.994657088580679,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
