#mpa_vJun23_CHOCOPhlAnSGB_202307
clade_name	UF-PF-2020-001-1N_metaphlan_rel_ab	UF-PF-2020-001-2G_metaphlan_rel_ab	UF-PF-2020-002-2G_metaphlan_rel_ab	UF-PF-2020-002-3N_metaphlan_rel_ab	UF-PF-2020-003-1N_metaphlan_rel_ab	UF-PF-2020-003-2G_metaphlan_rel_ab	UF-PF-2020-004-1N_metaphlan_rel_ab	UF-PF-2020-004-2G_metaphlan_rel_ab	UF-PF-2020-005-2G_metaphlan_rel_ab	UF-PF-2020-006-2G_metaphlan_rel_ab	UF-PF-2020-007-2G_metaphlan_rel_ab	UF-PF-2020-008-1N_metaphlan_rel_ab	UF-PF-2020-009-3N_metaphlan_rel_ab	UF-PF-2020-010-1N_metaphlan_rel_ab	UF-PF-2020-011-1N_metaphlan_rel_ab	UF-PF-2020-016-1N_metaphlan_rel_ab	UF-PF-2020-017-1N_metaphlan_rel_ab	UF-PF-2020-018-1N_metaphlan_rel_ab	UF-PF-2020-021-1N_metaphlan_rel_ab	UF-PF-2020-022-1N_metaphlan_rel_ab	UF-PF-2020-024-1N_metaphlan_rel_ab	UF-PF-2020-025-3N_metaphlan_rel_ab	UF-PF-2020-026-1N_metaphlan_rel_ab	UF-PF-2020-027-1N_metaphlan_rel_ab	UF-PF-2020-030-1N_metaphlan_rel_ab	UF-PF-2021-008-2G_metaphlan_rel_ab	UF-PF-2021-009-2G_metaphlan_rel_ab	UF-PF-2021-010-2G_metaphlan_rel_ab	UF-PF-2021-011-2G_metaphlan_rel_ab	UF-PF-2021-012-2G_metaphlan_rel_ab	UF-PF-2021-014-2G_metaphlan_rel_ab	UF-PF-2021-015-2G_metaphlan_rel_ab	UF-PF-2021-016-2G_metaphlan_rel_ab	UF-PF-2021-017-2G_metaphlan_rel_ab	UF-PF-2021-018-2G_metaphlan_rel_ab	UF-PF-2021-019-2G_metaphlan_rel_ab	UF-PF-2021-020-2G_metaphlan_rel_ab	UF-PF-2021-022-2G_metaphlan_rel_ab	UF-PF-2021-023-1N_metaphlan_rel_ab	UF-PF-2021-023-2G_metaphlan_rel_ab	UF-PF-2021-024-2G_metaphlan_rel_ab	UF-PF-2021-025-3G_metaphlan_rel_ab	UF-PF-2021-031-1N_metaphlan_rel_ab	UF-PF-2021-032-3N_metaphlan_rel_ab	UF-PF-2021-033-1N_metaphlan_rel_ab	UF-PF-2021-034-3N_metaphlan_rel_ab	UF-PF-2021-035-1N_metaphlan_rel_ab	UF-PF-2021-036-3N_metaphlan_rel_ab	UF-PF-2021-037-1N_metaphlan_rel_ab	UF-PF-2021-038-3N_metaphlan_rel_ab	UF-PF-2021-039-3N_metaphlan_rel_ab	UF-PF-2021-040-1N_metaphlan_rel_ab	UF-PF-2021-041-1N_metaphlan_rel_ab	UF-PF-2021-042-3N_metaphlan_rel_ab	UF-PF-2021-044-1N_metaphlan_rel_ab	UF-PF-2021-045-1N_metaphlan_rel_ab	UF-PF-2021-046-3N_metaphlan_rel_ab	UF-PF-2021-047-1N_metaphlan_rel_ab	UF-PF-2021-048-1N_metaphlan_rel_ab	UF-PF-2021-049-1N_metaphlan_rel_ab	UF-PF-2021-050-1N_metaphlan_rel_ab	UF-PF-2021-051-1N_metaphlan_rel_ab	UF-PF-2021-054-1N_metaphlan_rel_ab	UF-PF-2021-055-1N_metaphlan_rel_ab	UF-PF-2021-056-3N_metaphlan_rel_ab	UF-PF-2021-057-1N_metaphlan_rel_ab	UF-PF-2021-058-1N_metaphlan_rel_ab	UF-PF-2021-060-3N_metaphlan_rel_ab	UF-PF-2021-062-1N_metaphlan_rel_ab	UF-PF-2021-063-1N_metaphlan_rel_ab	UF-PF-2021-064-1N_metaphlan_rel_ab	UF-PF-2022-029-2G_metaphlan_rel_ab	UF-PF-2022-030-2G_metaphlan_rel_ab	UF-PF-2022-031-2G_metaphlan_rel_ab	UF-PF-2022-068-1N_metaphlan_rel_ab	UF-PF-2022-069-1N_metaphlan_rel_ab	UF-PF-2022-070-3N_metaphlan_rel_ab	UF-PF-2022-071-1N_metaphlan_rel_ab	UF-PF-2022-072-1N_metaphlan_rel_ab	UF-PF-2022-074-1N_metaphlan_rel_ab	UF-PF-2022-075-1N_metaphlan_rel_ab	UF-PF-2022-076-1N_metaphlan_rel_ab	UF-PF-2022-079-1N_metaphlan_rel_ab	UF-PF-2022-084-1N2_metaphlan_rel_ab	UF-PF-2022-084-1N_metaphlan_rel_ab	UF-PF-2022-085-3N2_metaphlan_rel_ab	UF-PF-2022-085-3N_metaphlan_rel_ab	UF-PF-2022-087-1N_metaphlan_rel_ab	UF-PF-2022-088-1N_metaphlan_rel_ab	UF-PF-2022-091-1N_metaphlan_rel_ab	UF-PF-2022-092-1N_metaphlan_rel_ab	UF-PF-2022-096-1N_metaphlan_rel_ab	UF-PF-2022-100-1N_metaphlan_rel_ab	UF-PF-2022-102-1N_metaphlan_rel_ab	UF-PF-2022-103-1N_metaphlan_rel_ab	UF-PF-2022-105-1N_metaphlan_rel_ab	UF-PF-2023-032-2G_metaphlan_rel_ab	UF-PF-2023-119-1N_metaphlan_rel_ab	UF-PF-2023-123-1N_metaphlan_rel_ab	UF-PF-2023-124-3N_metaphlan_rel_ab
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis|t__SGB4936	0.0	0.04119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17512	0.91278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1755	0.0	0.0	0.0	0.0	0.09266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12673	0.0	0.18071	0.05597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30967	0.0	0.0	0.03278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04734	0.0	0.0	0.03597	0.03457	0.0	0.0	0.0	0.40096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum|t__SGB17103_group	0.0	0.04022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16529	0.0	0.0	0.0	0.0	0.0	0.13014	0.0	0.0	3.78851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17075	0.0	0.0	0.0	0.01767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04241	0.0	0.20386	0.12789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07491	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__SGB10115_group	0.0	0.02861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48814	17.97728	0.0	1.40067	0.0	3.65883	15.10231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.33752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.11646	0.0	0.0	4.69322	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_imitans|t__SGB17060	0.0	0.02666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis|t__SGB1974	0.0	0.02655	0.0	0.0	0.01038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03876	0.0	0.0	0.0	0.0	0.0	5.03918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3957	0.0	0.0	0.0	0.0	6.85212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06928	0.4008	0.04923	0.0	0.09361	0.0	0.0	0.00733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.66677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038|f__FGB3038|g__GGB9534|s__GGB9534_SGB14937|t__SGB14937	0.0	0.02627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00802	0.0	0.0	0.0	0.0	0.0	0.03129	0.0	0.0	0.00459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057|f__FGB3057|g__GGB9719|s__GGB9719_SGB53514|t__SGB53514	0.0	0.02305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38275	0.0	0.45683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales|f__Candidatus_Borkfalkiaceae|g__Candidatus_Borkfalkia|s__Candidatus_Borkfalkia_ceftriaxoniphila|t__SGB14027	0.0	0.02275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03236	0.0	0.0	0.0	0.0	0.00269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834|f__FGB2834|g__GGB9063|s__GGB9063_SGB13982|t__SGB13982	0.0	0.01599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus|t__SGB15154	0.0	0.01471	0.34983	0.20617	0.0	0.0	0.04058	0.0	0.0	0.0	0.0	0.0	0.06566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35283	0.0	0.2154	0.48826	0.0	0.0	0.28868	0.0	0.0	0.0	0.0	0.09167	0.0	0.0	0.0	0.0	0.039	0.0	0.32672	0.1507	0.0	0.0	0.0	0.04061	0.0	0.02748	0.22347	0.0	0.0	0.09371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17923	0.0	0.0	0.07204	0.0	0.0	0.0	0.0	0.0	0.0	0.00755	0.0	0.02264	0.0	0.2367	0.0	0.0	0.0	0.07558	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans|t__SGB15463	0.0	0.01066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_An249|t__SGB7262	0.0	0.00965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Zhenpiania|s__Zhenpiania_hominis|t__SGB14854	0.0	0.00774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06427	0.22539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09745	0.0	0.0	0.09619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02491
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_glucerasea|t__SGB4804	0.0	0.00768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31785	0.0	0.0	0.04199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0263	0.0	0.0532	0.0	0.0	0.0	0.0	0.01131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01147	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__GGB52002|s__GGB52002_SGB72669|t__SGB72669	0.0	0.00716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_SGB17168|t__SGB17168	0.0	0.00512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3012	0.0	0.0	2.33389	0.0	0.14356	0.0	0.0	0.0	0.0	0.0	0.0	0.88749	0.0	0.0	0.17368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34421	0.79072	0.0	0.0	3.13026	0.0	0.0	1.45983	0.0	0.0	0.0	0.0	0.08651	0.0	0.18457	0.0	0.0	1.0816	0.0	0.0	1.25764	0.0	0.0	0.0	0.0	0.29618	0.0	0.0	1.67595	0.62166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58234	0.47349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71585	0.0	0.41554	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1380	0.0	0.0	0.42004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.76516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19119
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	0.0	0.0	2.33389	0.0	0.14356	0.0	0.0	0.0	0.0	0.0	0.0	0.88749	0.0	0.0	0.17368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34421	0.79072	0.0	0.0	3.13026	0.0	0.0	1.45983	0.0	0.0	0.0	0.0	0.08651	0.0	0.18457	0.0	0.0	1.0816	0.0	0.0	1.25764	0.0	0.0	0.0	0.0	0.29618	0.0	0.0	1.67595	0.62166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58234	0.47349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71585	0.0	0.41554	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380	0.0	0.0	0.42004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.76516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19119
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012	0.0	0.0	2.33389	0.0	0.14356	0.0	0.0	0.0	0.0	0.0	0.0	0.88749	0.0	0.0	0.17368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34421	0.79072	0.0	0.0	3.13026	0.0	0.0	1.45983	0.0	0.0	0.0	0.0	0.08651	0.0	0.18457	0.0	0.0	1.0816	0.0	0.0	1.25764	0.0	0.0	0.0	0.0	0.29618	0.0	0.0	1.67595	0.62166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58234	0.47349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71585	0.0	0.41554	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380|f__FGB1380	0.0	0.0	0.42004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.76516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19119
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Longicatena	0.0	0.0	3.69294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81506	1.6584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
